Topic,Count,Name
136,197,136_эмбарго_нефти_нефть_oil
137,191,137_дожди_температура_погода_градусов
138,191,138_погибли_ранены_мирных_погибших
139,186,139_водитель_автомобиль_автобус_автобуса
140,185,140_финляндии_финляндия_альянса_finland
141,182,141_биржа_московской_бирже_фондового
142,182,142_ограничения_масок_qr_коронавирусные
143,180,143_чемпионов_клуб_матч_футболу
144,175,144_осторожностью_информацию_невозможно_конфликта
145,174,145_туристов_туризма_туроператоров_туристической
146,174,146_тревога_воздушная_воздушных_украина
147,173,147_сахара_сахар_продуктов_маргарин
148,173,148_улицы_улицу_площадь_улица
149,172,149_фотографии_войны_фотоисторий_задокументировать
