topic_name,topic_id,ShockedUkraine,NovayaGazeta,RBK,Meduza,UNIAN,WashingtonPost,TACC,BBC,RIANews,NYT,Ukraine24,UkraineNow
-1_россии_украины_украине_украина,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_эвакуации_эвакуация_гуманитарных_коридоров,0.0,2.0159399906235347,1.2539184952978055,1.013439083498568,3.2974001268230815,3.730430528375734,5.420054200542006,2.003062787136294,4.386484884410195,2.2899979461901827,6.944444444444445,2.4344569288389515,3.6720142602495542
1_самолетов_рейсы_полеты_авиакомпаний,1.0,0.7501172058134083,6.583072100313479,4.670632297862965,2.5364616360177554,1.0151663405088063,0.0,3.2771822358346094,2.1636040308239477,3.3271719038817005,0.4629629629629629,1.9662921348314606,1.2953060011883542
2_переговорах_мединский_украиной_россией,2.0,1.3127051101734646,1.8808777429467085,2.797973121833003,1.8177975058127245,2.0670254403131114,1.6260162601626018,2.903522205206738,2.4896265560165975,3.1423290203327174,3.7037037037037033,2.528089887640449,2.2103386809269163
3_пожар_пожара_горит_нефтебазе,3.0,4.360056258790436,0.4702194357366771,1.7184401850627893,1.2682308180088777,1.8835616438356164,0.27100271002710025,2.6952526799387444,1.0966212211025488,2.2797288971041283,0.4629629629629629,2.6217228464419478,2.2578728461081403
4_путин_путина_путину_владимир,4.0,2.8129395218002813,1.4106583072100314,1.1676580744657412,1.7966603255125766,4.4398238747553815,2.710027100271003,0.9739663093415007,1.5708358032009484,1.0371739576915178,2.314814814814815,3.1835205992509366,2.7569815805109923
5_ранены_погибших_пострадали_мирных,5.0,2.719174871073605,0.3134796238244514,0.8592200925313946,1.8389346861128724,1.8224070450097847,0.5420054200542005,1.660030627871363,1.5411973918197985,1.5917026083384678,0.9259259259259258,0.9363295880149813,1.9251336898395723
6_дипломатов_посольства_посольство_посол,6.0,0.46882325363338023,0.9404388714733543,2.2251597268120733,1.2682308180088777,0.6237769080234833,1.3550135501355014,2.4502297090352223,1.2744516893894486,2.454302731567057,1.3888888888888888,0.37453183520599254,1.021984551396316
7_банк_mastercard_банки_банков,7.0,0.8438818565400843,1.5673981191222568,3.4589116545494605,1.2893679983090256,0.8806262230919765,0.27100271002710025,1.9234303215926494,0.7409602845287492,2.1873074553296368,0.4629629629629629,1.1235955056179776,0.5704099821746881
8_беларуси_белоруссии_беларусь_белорусские,8.0,2.5316455696202533,0.4702194357366771,1.3439083498567965,1.2048192771084338,1.9691780821917808,0.8130081300813009,1.6294027565084226,0.7705986959098993,1.3452454302731567,0.0,2.8089887640449436,1.8062982768865123
9_митинг_протеста_задержали_поддержку,9.0,4.031879981247069,2.8213166144200628,0.506719541749284,2.642147537518495,1.443248532289628,0.0,0.6125574272588056,2.3710729104919976,1.4992811665639763,0.0,1.2172284644194757,1.4973262032085561
10_войска_российские_разведка_северодонецка,10.0,0.42194092827004215,0.1567398119122257,0.15421899096717337,1.03572183470725,2.262720156555773,7.046070460704606,0.042879019908116385,5.809128630705394,0.15403573629081946,10.185185185185185,5.149812734082397,2.1509209744503863
11_магазины_компании_samsung_магазинов,11.0,0.5157055789967182,1.5673981191222568,2.313284864507601,2.092580849714648,1.1130136986301369,0.0,0.9065849923430321,0.7705986959098993,1.3452454302731567,0.0,1.1235955056179776,1.2002376708259062
12_млрд_украине_млн_военной,12.0,1.4533520862634786,0.1567398119122257,1.03547036792245,0.8243500317057704,1.8835616438356164,6.504065040650407,0.7166921898928025,1.9857735625370478,0.811254877798316,4.166666666666666,1.7790262172284643,1.8657159833630421
13_потери_погибших_потерь_потерях,13.0,1.1251758087201125,1.4106583072100314,0.39656311962987445,1.3316423589093214,2.2260273972602738,0.5420054200542005,0.784073506891271,2.3710729104919976,0.46210720887245843,1.8518518518518516,2.0599250936329585,2.0202020202020203
14_евросоюз_еврокомиссии_украины_еврокомиссия,14.0,0.7969995311767463,0.3134796238244514,1.1235955056179776,0.8877615726062142,1.834637964774951,2.9810298102981028,0.9310872894333845,1.5411973918197985,0.8831382214006983,2.314814814814815,2.3408239700374533,1.5092097445038621
15_санкции_санкций_сербии_россии,15.0,0.32817627754336615,0.4702194357366771,1.520158625247852,0.8877615726062142,0.8439334637964775,0.5420054200542005,1.7212863705972434,0.6520450503852994,1.252823988498665,0.9259259259259258,0.7490636704119851,0.5585264408793821
16_директоров_должность_отставку_председателя,16.0,0.1875293014533521,1.4106583072100314,2.9742233972240584,1.3527795392094695,0.3669275929549902,0.27100271002710025,1.445635528330781,0.8595139300533492,1.334976381187102,0.0,0.18726591760299627,0.38027332144979203
17_погиб_умер_генерал_смерти,17.0,0.5157055789967182,3.4482758620689653,1.520158625247852,1.6064257028112447,1.5166340508806262,0.8130081300813009,0.6799387442572741,1.7783046828689981,0.7804477305401519,0.4629629629629629,0.8426966292134831,1.1408199643493762
18_instagram_facebook_twitter_экстремистской,18.0,0.5625879043600562,2.978056426332288,2.026878166997136,1.2682308180088777,0.8806262230919765,0.0,1.0352220520673814,1.0373443983402488,1.3452454302731567,0.4629629629629629,1.4044943820224718,1.0101010101010102
19_китай_китая_пекин_цзиньпин,19.0,0.3750586029067042,0.3134796238244514,0.7710949548358669,0.33819488480236737,0.8928571428571428,0.5420054200542005,1.9111791730474732,0.7409602845287492,1.1809406448962827,0.9259259259259258,0.37453183520599254,0.9031491384432562
